executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,innerReductionFactor,processes,maxBlockSize,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n451.localdomain\n', 'top': ['top - 17:39:21 up 48 days,  3:47,  0 users,  load average: 17.26, 14.82, 13.82', 'Tasks: 1035 total,   2 running, 1033 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.3 us,  0.1 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  77317.1 free,  15739.1 used,   3262.5 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  79696.7 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 831110 rx9600    20   0   14.7g  10.6g  11240 R 100.0  11.2  56622:56 python3', '   2576 munge     20   0  252296   4028   1624 S   6.2   0.0  10:22.65 munged', '1265849 nq7776    20   0   56636   5292   3568 R   6.2   0.0   0:00.02 top', '      1 root      20   0  253340   7744   4344 S   0.0   0.0   2:29.75 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:36.02 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 17:39:21 up 48 days,  3:47,  0 users,  load average: 17.26, 14.82, 13.82\n', 'libOGL.so': '50b691a38f547d5c18d95f8ff7dbe61f  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
OMP,CG,ILU,5,8,0,uc2n451.localdomain,None,1,None,28c72e7df3ab5cd29e201750f8b261f2,0.09583,0.110403,156.0,135.0,180.0,1264.0,7545.0,22444.0
OMP,BiCGStab,ILU,5,8,0,uc2n451.localdomain,None,1,None,cbbfc93b615e72f21d0b0d6280f4b6ea,0.118067,0.117585,87.0,135.0,189.0,1213.0,12158.0,29033.0
OMP,CG,NoPrecond,5,8,0,uc2n451.localdomain,None,1,None,5bcb2511bfdc32e7319f28e13479ae07,0.097219,0.120266,441.0,135.0,189.0,1155.0,7523.0,30846.0
OMP,CG,BJ,5,8,0,uc2n451.localdomain,None,1,16,75dd46278d1f65d1b97682c43e51986b,0.100024,0.192727,315.0,135.0,226.0,1057.0,72442.0,100683.0
OMP,CG,BJ,5,8,0,uc2n451.localdomain,None,1,8,13e153234607390887fa86535400741f,0.09151,0.130026,361.0,135.0,198.0,1261.0,13033.0,35691.0
OMP,CG,BJ,5,8,0,uc2n451.localdomain,None,1,2,800656f0d102c930b283de9e6977dbc9,0.113792,0.140295,386.0,135.0,196.0,1214.0,7997.0,30452.0
OMP,CG,BJ,5,8,0,uc2n451.localdomain,None,1,4,91eb8426774a3237ee73c7b181a18f23,0.100725,0.146261,384.0,135.0,229.0,1429.0,10072.0,34846.0
OMP,CG,BJ,5,8,0,uc2n451.localdomain,None,1,1,98c418c4a6ea9cab7971da85d415668b,0.118055,0.148582,404.0,135.0,218.0,1413.0,11077.0,36879.0
OMP,BiCGStab,NoPrecond,5,8,0,uc2n451.localdomain,None,1,None,b943b8370d944b96a2a5c95ac2a4d054,0.130875,0.154885,291.0,135.0,225.0,1231.0,12346.0,43045.0
OMP,BiCGStab,BJ,5,8,0,uc2n451.localdomain,None,1,None,027d52272fa20f1e6451009162b54fb8,0.098296,0.123849,196.0,135.0,185.0,1183.0,9050.0,30585.0
OMP,IR,NoPrecond,5,8,0,uc2n451.localdomain,0.1,1,None,985167ecd6f36e874fd072ac7a268c84,0.104591,0.141239,64.0,135.0,179.0,1239.0,13241.0,51486.0
OMP,IR,NoPrecond,5,8,0,uc2n451.localdomain,0.01,1,None,478845a0a3428a6a8112f1d61cac4e01,0.094156,0.159429,36.0,135.0,227.0,1027.0,39546.0,67431.0
OMP,IR,NoPrecond,5,8,0,uc2n451.localdomain,0.05,1,None,5e2d581598cfe71e113e85d2c7aa399a,0.100027,0.141145,51.0,135.0,189.0,1227.0,12122.0,47728.0
OMP,IR,NoPrecond,5,8,0,uc2n451.localdomain,0.001,1,None,5753f6fbbefdcc682fe873368a7503db,0.110606,0.14129,26.0,135.0,189.0,1205.0,13624.0,47280.0
OMP,CG,ILU,15,8,0,uc2n451.localdomain,None,1,None,61710f3377a5ea5c83268889bc93d038,0.150041,0.280809,592.0,135.0,2461.0,18272.0,42174.0,131723.0
OMP,BiCGStab,ILU,15,8,0,uc2n451.localdomain,None,1,None,0d8c60fa23c9c1ef6f1605ddaee7b29d,0.160865,0.32508,430.0,135.0,2360.0,18430.0,46567.0,173328.0
OMP,CG,NoPrecond,15,8,0,uc2n451.localdomain,None,1,None,99b322466162ee2f55c456183c865213,0.187072,0.353855,1882.0,135.0,2375.0,18289.0,47569.0,190873.0
OMP,CG,BJ,15,8,0,uc2n451.localdomain,None,1,16,99c4e4e8445a0d54af76a05e9699f1c0,0.187563,0.590902,1590.0,135.0,3099.0,28351.0,85819.0,363892.0
OMP,CG,BJ,15,8,0,uc2n451.localdomain,None,1,8,1ee88176e1235094ed2512b04069a054,0.186965,0.357339,1599.0,135.0,2356.0,18364.0,49684.0,200968.0
OMP,CG,BJ,15,8,0,uc2n451.localdomain,None,1,2,9f257d2cf849ec4e8991dc8b34626774,0.15996,0.336278,1606.0,135.0,2358.0,18456.0,48398.0,183446.0
OMP,CG,BJ,15,8,0,uc2n451.localdomain,None,1,4,017a1081fbda62d88a025ac5ff9a9d18,0.162321,0.372402,1593.0,135.0,2376.0,23626.0,52715.0,203014.0
OMP,CG,BJ,15,8,0,uc2n451.localdomain,None,1,1,9d6aeb3d00c9c83bc3618bed35e234f3,0.15146,0.327365,1732.0,135.0,2348.0,18282.0,46800.0,176538.0
OMP,BiCGStab,NoPrecond,15,8,0,uc2n451.localdomain,None,1,None,fdd6797c51e3ba758ce7444135ba9f60,0.1933,0.44776,1414.0,135.0,2374.0,23426.0,66375.0,289945.0
OMP,BiCGStab,BJ,15,8,0,uc2n451.localdomain,None,1,None,0f023bdb6f5a7f33dd8acbed82606288,0.1833,0.488868,1087.0,135.0,2865.0,19462.0,72524.0,318632.0
OMP,IR,NoPrecond,15,8,0,uc2n451.localdomain,0.1,1,None,03de5918762bdcb21df05b35fb55f4ab,0.218831,0.631787,82.0,135.0,3506.0,20926.0,104159.0,400399.0
OMP,IR,NoPrecond,15,8,0,uc2n451.localdomain,0.01,1,None,e391b65cfd638b7d507c9d441b68eb76,0.18548,0.593929,43.0,135.0,3183.0,31899.0,80705.0,359094.0
OMP,IR,NoPrecond,15,8,0,uc2n451.localdomain,0.05,1,None,570399ba561d11f9a2294dc79c38cf8d,0.162426,0.412877,64.0,135.0,2300.0,23675.0,61168.0,242070.0
OMP,IR,NoPrecond,15,8,0,uc2n451.localdomain,0.001,1,None,7deeacb2f2e1d60efe5ee5cb032cc2e9,0.163767,0.376189,35.0,135.0,2428.0,18230.0,52388.0,222506.0
OMP,CG,ILU,90,8,0,uc2n451.localdomain,None,1,None,5e37191870b7cf71baea76d9df6b5ad5,24.819027,151.853777,4244.0,135.0,759457.0,6662749.0,19451626.0,121055996.0
OMP,BiCGStab,ILU,90,8,0,uc2n451.localdomain,None,1,None,e2ac4401472e55cc3faf0530010c3938,32.750152,208.128732,3261.0,135.0,744463.0,6920557.0,25735425.0,171246011.0
OMP,BiCGStab,ILU,90,8,0,uc2n451.localdomain,None,1,None,f320a538d67307f8c804e72528c68ffb,30.223856,179.191309,3026.0,135.0,731319.0,6784519.0,25619812.0,154646335.0
OMP,CG,NoPrecond,90,8,0,uc2n451.localdomain,None,1,None,88d9a28793aaa8077d72702835b737d2,25.607057,161.567074,13372.0,135.0,1036856.0,8652967.0,21895206.0,128259057.0
OMP,CG,NoPrecond,90,8,0,uc2n451.localdomain,None,1,None,856c640bfc9cb1a575cce64f9a8a5fca,26.190547,159.820085,13372.0,135.0,776273.0,6491887.0,19733402.0,129190554.0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,16,0,28.690132,29.125855,0,0,0,0,0,0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,16,c566aaed9b5770a7a2633ac649ad805c,31.789817,194.455987,11043.0,135.0,941213.0,7391602.0,25236328.0,160102811.0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,8,0,26.092865,26.390256,0,0,0,0,0,0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,8,7c4043e93fe0db6d677906b527b0232a,25.940966,158.422422,11092.0,135.0,730917.0,6715953.0,20893135.0,128958553.0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,8,8db19ac09310195cabf357707490ab5d,26.945284,213.63704,11092.0,135.0,745997.0,8292473.0,20825877.0,173924174.0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,2,235cbfce43293b3694cb8861d0795717,25.183907,144.532615,12051.0,135.0,1060408.0,6766856.0,20391277.0,116580061.0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,2,51fa7483f0fd0a60653643002da4d1f9,25.357773,143.82141,12051.0,135.0,732343.0,6405848.0,20255690.0,115223780.0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,4,0,25.366658,24.63867,0,0,0,0,0,0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,4,ba3d927b0f18fa986523e69b7d9e6a01,24.720985,157.055209,11264.0,135.0,743078.0,7477637.0,20651388.0,120897962.0
OMP,CG,BJ,90,8,0,uc2n451.localdomain,None,1,1,499cc24578b1e414333cd9ef7370901c,28.303373,140.116867,13195.0,135.0,777803.0,6429568.0,20549298.0,113645479.0
OMP,BiCGStab,NoPrecond,90,8,0,uc2n451.localdomain,None,1,None,14e2a4a6d1f99ddd990ad95b303c4c89,34.248155,222.496243,11101.0,135.0,745409.0,6815358.0,29898144.0,186211975.0
OMP,BiCGStab,BJ,90,8,0,uc2n451.localdomain,None,1,None,f2e9fa237a4409510b6841a38992b6ee,40.082244,260.138357,8252.0,135.0,763462.0,7012521.0,32906995.0,221924488.0
OMP,IR,NoPrecond,90,8,0,uc2n451.localdomain,0.1,1,None,773a6be3a1a555fe14ab2c916dbab565,29.748907,162.297982,111.0,135.0,765456.0,7521268.0,21245252.0,130392695.0
OMP,IR,NoPrecond,90,8,0,uc2n451.localdomain,0.01,1,None,da5343bcd55fe6b93a416a47bf16a4d5,26.844649,144.949662,57.0,135.0,786139.0,6355399.0,21768660.0,117983100.0
OMP,IR,NoPrecond,90,8,0,uc2n451.localdomain,0.05,1,None,87d40322262b3c99d93c77bb563947aa,25.14086,166.603789,90.0,135.0,754021.0,6797171.0,21414429.0,134225843.0
OMP,IR,NoPrecond,90,8,0,uc2n451.localdomain,0.001,1,None,78f16800db7a173534c6381a69f5538e,27.537986,143.176342,39.0,135.0,776640.0,6508039.0,22207364.0,115900807.0
OMP,CG,ILU,75,8,0,uc2n451.localdomain,None,1,None,18c96ec5bc1a5bcd9ca93af3b359fb9e,12.918439,68.654898,3279.0,135.0,433571.0,3848011.0,9757059.0,53586864.0
OMP,BiCGStab,ILU,75,8,0,uc2n451.localdomain,None,1,None,056d0e0b4ea78da888d555faa7ab97b2,15.128456,89.726881,2409.0,135.0,427523.0,3712157.0,12668975.0,74770690.0
OMP,CG,NoPrecond,75,8,0,uc2n451.localdomain,None,1,None,6f286c01851c93b02840613fe5039239,12.30434,73.066307,10349.0,135.0,415102.0,3837397.0,9874209.0,57178960.0
OMP,CG,BJ,75,8,0,uc2n451.localdomain,None,1,16,06eccb53f8d28170b6360f42c58b09ec,15.475166,87.163787,8577.0,135.0,413423.0,3721001.0,12747754.0,69917937.0
OMP,CG,BJ,75,8,0,uc2n451.localdomain,None,1,8,408aca7d4ec2e30783e7d5b14c83f9ce,13.305927,73.347743,8598.0,135.0,418258.0,3782169.0,10434777.0,56902010.0
OMP,CG,BJ,75,8,0,uc2n451.localdomain,None,1,2,c40c3e36e8fe780a5caadb8d0977bc11,13.767388,70.644139,8911.0,135.0,457871.0,4386614.0,9561084.0,53648300.0
OMP,CG,BJ,75,8,0,uc2n451.localdomain,None,1,4,53f772060d2ee6c28fdca012ec894475,12.556169,64.936886,8665.0,135.0,437174.0,3723297.0,9882240.0,50147710.0
OMP,CG,BJ,75,8,0,uc2n451.localdomain,None,1,1,8ef201e45252d7764941ea06701ddfb3,12.732592,78.617446,10180.0,135.0,415766.0,4107588.0,9250291.0,61050133.0
OMP,BiCGStab,NoPrecond,75,8,0,uc2n451.localdomain,None,1,None,0cc9956f813bad28fdb5812d3336864f,17.582272,106.401741,8489.0,135.0,468665.0,4219991.0,14584429.0,88137322.0
OMP,BiCGStab,BJ,75,8,0,uc2n451.localdomain,None,1,None,84432f2738219a7275b533af003e49be,18.423109,117.714118,6275.0,135.0,440592.0,3837919.0,15677392.0,97394930.0
OMP,IR,NoPrecond,75,8,0,uc2n451.localdomain,0.1,1,None,af39fe60d08017e2bc1fcd53edd874e7,13.37645,73.613883,105.0,135.0,452853.0,3640393.0,10816012.0,58799115.0
OMP,IR,NoPrecond,75,8,0,uc2n451.localdomain,0.01,1,None,e320b32974e149e56fa8b71cbdcd204b,13.054749,75.231824,56.0,135.0,419225.0,4111869.0,11921071.0,59446904.0
OMP,IR,NoPrecond,75,8,0,uc2n451.localdomain,0.05,1,None,9daf508d76351012a256b360e22e7f0b,14.344641,90.84873,82.0,135.0,411988.0,3768406.0,12058749.0,73706178.0
OMP,IR,NoPrecond,75,8,0,uc2n451.localdomain,0.001,1,None,6acff67e94a6a1aaa54c3f5c53520061,14.069606,72.60718,38.0,135.0,416327.0,4092554.0,10684656.0,56132792.0
OMP,CG,ILU,40,8,0,uc2n451.localdomain,None,1,None,784b8671dc19708f31b15cdf58ea2b56,1.563453,5.658479,1739.0,135.0,55091.0,424848.0,960176.0,4041000.0
