executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n438.localdomain\n', 'top': ['top - 13:07:25 up 46 days, 15:35,  0 users,  load average: 21.68, 21.96, 23.94', 'Tasks: 1069 total,   5 running, 1064 sleeping,   0 stopped,   0 zombie', '%Cpu(s): 25.1 us,  1.3 sy,  0.0 ni, 73.5 id,  0.0 wa,  0.1 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  48289.3 free,  30752.3 used,  17277.1 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  64679.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3029990 st_ac10+  20   0 1047564  58352   3440 R  1159   0.1  36678:27 gmx', '3226262 fr_rf116  20   0 2681248   2.1g  14300 R 388.2   2.3   4889:43 hqme_ti+', '3229381 fr_rf116  20   0 2681248   2.1g  13780 R 388.2   2.3   4885:19 hqme_ti+', '3212718 ul_fbg16  20   0   22.4g  18.2g   3620 R  94.1  19.3   1338:13 python3', '3538789 nq7776    20   0   56636   5340   3620 R   5.9   0.0   0:00.03 top', '      1 root      20   0  253340   7720   4312 S   0.0   0.0   6:37.67 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:06.32 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp'], 'uptime': ' 13:07:25 up 46 days, 15:35,  0 users,  load average: 21.68, 21.96, 23.94\n', 'libOGL.so': 'fe504a78962a49cab92e9b4c549389b3  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
Serial,CG,DIC,5,1,0,uc2n438.localdomain,1,f23b96bcfb5d835b1dd33b4a5e97548a,0.086616,0.094862,156.0,135.0,228.0,1163.0,142.0,752.0
Serial,BiCGStab,DIC,5,1,0,uc2n438.localdomain,1,64ce2b7966746efe33467dddfacc039d,0.088767,0.092363,97.0,135.0,214.0,1166.0,146.0,811.0
Serial,BiCGStab,NoPrecond,5,1,0,uc2n438.localdomain,1,84aed7d34ecc40f59c9d71394063f8cf,0.087419,0.088595,320.0,135.0,213.0,1046.0,193.0,1011.0
Serial,CG,NoPrecond,5,1,0,uc2n438.localdomain,1,bbaf3333027325187065afd4462808bd,0.089553,0.092511,434.0,135.0,239.0,1199.0,165.0,958.0
Serial,CG,DIC,15,1,0,uc2n438.localdomain,1,10577a3ac476c336a5b6e355f6c5270a,0.109947,0.204141,592.0,135.0,2998.0,23256.0,5646.0,42797.0
Serial,BiCGStab,DIC,15,1,0,uc2n438.localdomain,1,187bb6ff96bb896584857c8e61a75049,0.113115,0.191615,444.0,135.0,2715.0,18640.0,6710.0,48154.0
Serial,BiCGStab,NoPrecond,15,1,0,uc2n438.localdomain,1,88c631e69270f63167ea06661d2dbc62,0.121095,0.23003,1393.0,135.0,2546.0,18073.0,13262.0,83763.0
Serial,CG,NoPrecond,15,1,0,uc2n438.localdomain,1,48a53a1de66df366b8d8276f144fc899,0.116023,0.19975,1876.0,135.0,2668.0,18191.0,7829.0,56905.0
Serial,CG,DIC,90,1,0,uc2n438.localdomain,1,b57cf1fd21a530c32090afe78bf84fd1,13.692897,99.472435,4241.0,135.0,830659.0,6565360.0,8568779.0,75956573.0
Serial,BiCGStab,DIC,90,1,0,uc2n438.localdomain,1,aaa01b2d6cda4984ccfdb06d8c1b4875,17.751067,137.739015,3031.0,135.0,778522.0,6489629.0,13423897.0,110889366.0
Serial,BiCGStab,NoPrecond,90,1,0,uc2n438.localdomain,1,ea39a6ca4a58e289910db8edb5b7d849,29.608024,246.630909,10422.0,135.0,753517.0,6289814.0,24960482.0,207217624.0
Serial,CG,NoPrecond,90,1,0,uc2n438.localdomain,1,8441feff90373631f3fb1ce665e77207,19.567713,160.959045,13368.0,135.0,782074.0,6519777.0,14905377.0,131505508.0
Serial,CG,DIC,75,1,0,uc2n438.localdomain,1,f38a79e259e4db05a07209586efe2dc6,6.706869,45.197811,3278.0,135.0,429521.0,3591375.0,3956774.0,32946797.0
Serial,BiCGStab,DIC,75,1,0,uc2n438.localdomain,1,31fff3685dadc64e7abd51b9e4d7f87f,9.001311,64.567708,2387.0,135.0,443882.0,3695464.0,6285438.0,50410766.0
Serial,BiCGStab,NoPrecond,75,1,0,uc2n438.localdomain,1,21a0e813840f17bcf43c459a762000c3,14.25004,109.000013,8064.0,135.0,434337.0,3509697.0,11262755.0,90561558.0
Serial,CG,NoPrecond,75,1,0,uc2n438.localdomain,1,5a12796ed463a95c87afb6743189ac76,9.28415,69.518014,10346.0,135.0,430941.0,3600280.0,6530861.0,54878814.0
Serial,CG,DIC,40,1,0,uc2n438.localdomain,1,0b304105563b7e7e759c0e9ab0b1b1bd,0.731329,3.676498,1738.0,135.0,56106.0,453710.0,268558.0,2236239.0
Serial,BiCGStab,DIC,40,1,0,uc2n438.localdomain,1,13c6b51819f60f0698ce9cfe730a0f1a,0.868035,4.219949,1117.0,135.0,56242.0,450167.0,403762.0,2847597.0
Serial,BiCGStab,NoPrecond,40,1,0,uc2n438.localdomain,1,d933540d9c5a551cdc77ce1881d5c520,1.209338,6.463727,3389.0,135.0,56133.0,453630.0,748981.0,4945887.0
Serial,CG,NoPrecond,40,1,0,uc2n438.localdomain,1,63a6f8baa9d72783b3cb9127460b4bc9,0.939166,5.216085,5440.0,135.0,55418.0,439682.0,479606.0,3657846.0
Serial,CG,DIC,25,1,0,uc2n438.localdomain,1,cc2ff39024aaa6c0ca46a07bed664426,0.209281,0.639422,1032.0,135.0,11973.0,94387.0,33962.0,272270.0
Serial,BiCGStab,DIC,25,1,0,uc2n438.localdomain,1,d26ac266bc13eeb4101349ccd8f5db7c,0.235035,0.77969,759.0,135.0,11848.0,93082.0,52678.0,405854.0
Serial,BiCGStab,NoPrecond,25,1,0,uc2n438.localdomain,1,1fc8ee13020cf7f75bd562523b55a135,0.288997,1.095383,2413.0,135.0,11910.0,94468.0,105621.0,721206.0
Serial,CG,NoPrecond,25,1,0,uc2n438.localdomain,1,a3a6585c3707fb84349bdc6f16d3700c,0.233981,0.850247,3249.0,135.0,12165.0,94650.0,58879.0,465154.0
Serial,CG,DIC,65,1,0,uc2n438.localdomain,1,8dadda38f2b8d19bc7ff762f6a052cf5,3.95109,25.120373,2811.0,135.0,276001.0,2266946.0,2128322.0,17618506.0
Serial,BiCGStab,DIC,65,1,0,uc2n438.localdomain,1,6a6ae8c091865179c66d01fffa6d9f86,5.112795,34.014935,2081.0,135.0,272899.0,2261912.0,3262598.0,27033427.0
