executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,maxBlockSize,processes,innerReductionFactor,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n481.localdomain\n', 'top': ['top - 09:02:45 up 49 days, 13:09,  0 users,  load average: 0.23, 0.08, 0.12', 'Tasks: 1207 total,   1 running, 1206 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.1 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 386622.4 total, 361115.4 free,  20785.8 used,   4721.2 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 363728.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2915153 nq7776    20   0   56924   5528   3552 R  17.6   0.0   0:00.04 top', '      1 root      20   0  319108   8384   4740 S   0.0   0.0   0:25.31 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:13.70 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:42.11 ksoftir+'], 'uptime': ' 09:02:45 up 49 days, 13:09,  0 users,  load average: 0.23, 0.08, 0.12\n', 'libOGL.so': 'f62bcec1d853280ae0d8bc728d666a3a  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,16,1,None,10071709c0804e445e8a47ae6143e2da,0.931149,0.957033,315.0,135.0,209.0,972.0,728972.0,768756.0
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,8,1,None,ef33bc221fa3997fa15c41fab84c916a,0.927324,0.966591,361.0,135.0,184.0,972.0,734406.0,778651.0
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,2,1,None,4b1e8e9b3807e0135e1c17fe080b85d5,0.939876,0.974553,386.0,135.0,207.0,1081.0,738185.0,785168.0
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,4,1,None,67eae0d9c64b40ce1b93c06a6af950bc,0.934244,0.972495,384.0,135.0,181.0,956.0,730855.0,777449.0
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,1,1,None,660487b3d2b122dbf44193f297d66744,0.926252,0.974653,404.0,135.0,202.0,968.0,736527.0,784768.0
CUDA,BiCGStab,ILU,5,1,0,uc2n481.localdomain,None,1,None,71743a265513c4e9b921958e80c7c5d6,0.929337,0.958707,85.0,135.0,209.0,1005.0,735975.0,771199.0
CUDA,BiCGStab,NoPrecond,5,1,0,uc2n481.localdomain,None,1,None,a1537e1b9d745f18a6059ac28b4258d3,0.958386,1.011511,303.0,135.0,213.0,1006.0,749322.0,819371.0
CUDA,CG,NoPrecond,5,1,0,uc2n481.localdomain,None,1,None,cc01cba361a4fb3eaa72efd0f4d83065,0.918894,0.977162,441.0,135.0,189.0,961.0,740967.0,795152.0
CUDA,IR,NoPrecond,5,1,0,uc2n481.localdomain,None,1,0.1,602db71fcc663ff61bcf67651d2afad1,0.928381,1.015369,64.0,135.0,184.0,973.0,740784.0,832921.0
