executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,maxBlockSize,innerReductionFactor,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'guyot.icl.utk.edu\n', 'top': ['top - 09:44:07 up  7:35,  2 users,  load average: 2.85, 1.65, 1.47', 'Tasks: 2146 total,   1 running, 2145 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'KiB Mem : 21134055+total, 20798229+free, 29336180 used,  4246452 buff/cache', 'KiB Swap:  4194300 total,  4194300 free,        0 used. 20821591+avail Mem ', '', '   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND', '105228 greole    20   0  174900   4280   1572 R  16.7  0.0   0:00.04 top', '     1 root      20   0  126296   4892   2636 S   0.0  0.0   0:10.59 systemd', '     2 root      20   0       0      0      0 S   0.0  0.0   0:01.20 kthreadd', '     4 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H', '     6 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ksoftirqd/0', '     7 root      rt   0       0      0      0 S   0.0  0.0   0:00.51 migration/0', '     8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh', '     9 root      20   0       0      0      0 S   0.0  0.0   3:02.83 rcu_sched'], 'uptime': ' 09:44:07 up  7:35,  2 users,  load average: 2.85, 1.65, 1.47\n', 'libOGL.so': '84374645f9e75c431b683c6a5e37a3cf  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
CUDA,CG,BJ,50,None,0,guyot.icl.utk.edu,1,16,None,38167555ee68395ab26b84337df4a26b,4.403061,6.725036,6121.0,135.0,99028.0,810505.0,2911040.0,4064323.0
CUDA,CG,BJ,50,None,0,guyot.icl.utk.edu,1,4,None,cd7b3ca34d08d491881d10f0166c06fb,5.692544,6.881907,6225.0,135.0,98050.0,815954.0,2989772.0,4247509.0
CUDA,CG,BJ,50,None,0,guyot.icl.utk.edu,1,2,None,caba3752060fb1c06a09157e7e9edf7f,4.412223,8.329979,6353.0,135.0,98786.0,825422.0,2994821.0,4270254.0
CUDA,CG,BJ,50,None,0,guyot.icl.utk.edu,1,8,None,64727c4450624c58ce89d670d4cb60b7,4.410003,7.072144,6144.0,135.0,97887.0,843977.0,3200885.0,4376870.0
CUDA,CG,BJ,50,None,0,guyot.icl.utk.edu,1,1,None,48aae1eee52811fdc16010d33b8921d8,4.413825,6.931936,6942.0,135.0,98900.0,814739.0,2948122.0,4297575.0
CUDA,BiCGStab,NoPrecond,50,None,0,guyot.icl.utk.edu,1,None,None,9c32230c367addefd2b452df62e8f495,5.620036,7.662878,5073.0,135.0,97171.0,795446.0,3047855.0,4955952.0
CUDA,CG,NoPrecond,50,None,0,guyot.icl.utk.edu,1,None,None,abc46988f03f8bd7c58b1ec728804e07,4.364788,8.590349,7113.0,135.0,98709.0,838361.0,3153976.0,4573111.0
CUDA,BiCGStab,ILU,50,None,0,guyot.icl.utk.edu,1,None,None,5aa7b8736cf45eb686ae971e576c4925,4.79406,11.424636,1633.0,135.0,97098.0,824481.0,3396441.0,7154366.0
CUDA,BiCGStab,BJ,50,None,0,guyot.icl.utk.edu,1,None,None,9e341f1284ff669c5f94c56c99b8d656,4.530119,7.409337,4050.0,135.0,98548.0,805086.0,3176349.0,4702264.0
CUDA,CG,ILU,50,None,0,guyot.icl.utk.edu,1,None,None,e25977b65516c4d8db37ce86e7f414b0,4.633781,8.951733,2242.0,135.0,101526.0,842274.0,3382054.0,6004791.0
CUDA,IR,NoPrecond,50,None,0,guyot.icl.utk.edu,1,None,0.1,b303ea57307c9ee9f3e5f700db5937df,4.394681,7.319934,101.0,135.0,97095.0,815227.0,3102211.0,4617799.0
CUDA,IR,NoPrecond,50,None,0,guyot.icl.utk.edu,1,None,0.01,12e4a90b82f8af4706c616629a96b17b,5.499208,7.351169,56.0,135.0,96949.0,797916.0,3195724.0,4650849.0
CUDA,IR,NoPrecond,50,None,0,guyot.icl.utk.edu,1,None,0.05,0f2582bb8740dd266d58664a86c5ad09,4.377146,8.803405,80.0,135.0,98771.0,823461.0,3112784.0,4642435.0
CUDA,IR,NoPrecond,50,None,0,guyot.icl.utk.edu,1,None,0.001,02158844c8c97f9b449dec4f75a75a64,4.494346,7.26315,38.0,135.0,98353.0,808632.0,3226601.0,4597667.0
CUDA,CG,BJ,45,None,0,guyot.icl.utk.edu,1,16,None,6792987c621d1e059007a250ebe1405b,3.841936,5.807027,5172.0,135.0,68981.0,562551.0,2687804.0,3727313.0
CUDA,CG,BJ,45,None,0,guyot.icl.utk.edu,1,4,None,643b3f2da848dae15b19193c4586131b,3.823564,7.14698,5218.0,135.0,69584.0,584126.0,2730362.0,3761806.0
CUDA,CG,BJ,45,None,0,guyot.icl.utk.edu,1,2,None,3b248c9776a3d1f1c2214438af609ff0,3.800087,5.825011,5333.0,135.0,69953.0,569748.0,2689340.0,3743272.0
CUDA,CG,BJ,45,None,0,guyot.icl.utk.edu,1,8,None,134f74f3af591d8b9c2d3cea54446973,5.093882,5.665003,5183.0,135.0,70515.0,574478.0,2580033.0,3606210.0
CUDA,CG,BJ,45,None,0,guyot.icl.utk.edu,1,1,None,eed38883c8086261ea1fbf047d9cc7ab,3.621828,7.32253,6075.0,135.0,70023.0,587472.0,2698183.0,3887233.0
CUDA,BiCGStab,NoPrecond,45,None,0,guyot.icl.utk.edu,1,None,None,f23141666ab8d311d3f1df8af014fecb,3.950646,6.415524,4042.0,135.0,71201.0,583077.0,2841692.0,4358130.0
CUDA,CG,NoPrecond,45,None,0,guyot.icl.utk.edu,1,None,None,f6492c6e7f152964504d5989b3e81725,5.049746,6.080943,6261.0,135.0,70655.0,577823.0,2734299.0,3982458.0
