executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,innerReductionFactor,processes,maxBlockSize,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'top': ['top - 05:40:47 up 73 days, 18:19,  1 user,  load average: 0.13, 1.40, 1.22', 'Tasks: 980 total,   2 running, 978 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515589.7 total, 408387.8 free,   5520.9 used, 101681.0 buff/cache', 'MiB Swap:   4096.0 total,   4083.0 free,     13.0 used. 506942.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2291149 greole    20   0   66396   5832   4176 R   5.9   0.0   0:00.04 top', '      1 root      20   0  249812  14532   9040 S   0.0   0.0   0:36.29 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:03.42 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq', '     10 root      20   0       0      0      0 S   0.0   0.0   0:00.99 ksoftirqd/0', '     11 root      20   0       0      0      0 I   0.0   0.0   7:26.78 rcu_sched'], 'uptime': ' 05:40:47 up 73 days, 18:19,  1 user,  load average: 0.13, 1.40, 1.22\n', 'libOGL.so': 'c9ed229bc500e7ff7ba879936f2a6c6b  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,1,2,e41c761e590ae46bac8103935002c49b,12.691288,24.343313,10775.0,135.0,527341.0,4477491.0,8389021.0,12340607.0
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,1,16,3dc34ada9e175e31985925f71d1fe731,12.428752,25.096016,10301.0,135.0,524068.0,4536269.0,7997486.0,12714866.0
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,1,1,815f866d27749ecf1df808e8dfcbdb4c,12.558036,24.321666,12322.0,135.0,536310.0,4477717.0,7771832.0,12189389.0
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,1,4,730a22ba9eb985a8ecca1beee5859ea3,12.434126,24.145732,10416.0,135.0,525037.0,4450221.0,7938797.0,12056466.0
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,1,8,d2b23da3911fdc771b59a0d179179492,12.565316,24.359345,10322.0,135.0,522538.0,4466020.0,7939806.0,12224957.0
HIP,IR,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,0.05,1,None,67419ba51d8389f150ecda00ba0a23e4,12.239775,25.203456,86.0,135.0,527898.0,4492648.0,7664485.0,12833335.0
HIP,IR,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,0.01,1,None,46af764e45d5491341d24d8ce3b3fccb,12.209072,24.801599,57.0,135.0,534217.0,4484416.0,7598945.0,12578393.0
HIP,IR,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,0.1,1,None,edb251c9cf04068874cec5de20b524a8,12.505079,25.246822,110.0,135.0,528729.0,4465593.0,7712712.0,13004224.0
HIP,IR,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,0.001,1,None,e7812df7fb0db005c5b19a075390dccb,12.576132,24.511413,39.0,135.0,529196.0,4448509.0,7752130.0,12382725.0
HIP,BiCGStab,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,1,None,6bda9e6e2144adaefc7a61c1dda2c605,13.419858,27.168693,7673.0,135.0,523886.0,4475853.0,8444774.0,15053022.0
HIP,BiCGStab,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,None,1,None,d45cb0d7686db6ebeaad54692616053a,12.721212,26.453817,9546.0,135.0,527734.0,4452869.0,7782351.0,14133802.0
HIP,CG,ILU,85,None,0,nla-gpu1.ianm.kit.edu,None,1,None,e3ccd16373958d50fe03a2f5dcf375f7,12.824639,29.990142,3976.0,135.0,524058.0,4456054.0,8630167.0,17409709.0
HIP,CG,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,None,1,None,ad9ed7a77f26e4d06268cd9e4c39ee45,12.017684,24.326022,12487.0,135.0,530139.0,4484610.0,7800809.0,12141772.0
HIP,BiCGStab,ILU,85,None,0,nla-gpu1.ianm.kit.edu,None,1,None,fbd201523a05018d3bebd01d777a2fd3,13.247179,34.265147,2750.0,135.0,530502.0,4465669.0,8727212.0,20931974.0
HIP,CG,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,1,2,2e0dd17e19a7f2dccc5733ed0f9f4d2c,17.447127,34.062925,12349.0,135.0,741218.0,6320331.0,11314382.0,17068647.0
HIP,CG,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,1,16,1180810856809ada670203f8ed44fc65,17.694041,35.217424,12031.0,135.0,743537.0,6285484.0,11415902.0,18227090.0
HIP,CG,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,1,1,aa52b05b310292481ea53f2001933c29,16.799653,33.713733,14063.0,135.0,747957.0,6340172.0,10730140.0,16785688.0
HIP,CG,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,1,4,d5a07d5e930487efb4f1b1ae082df888,17.54222,34.365983,11998.0,135.0,740808.0,6355106.0,11379058.0,17397374.0
HIP,CG,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,1,8,bfda662a73c98e883447ff63b8a9f2a6,17.54598,34.564064,12030.0,135.0,745043.0,6332667.0,11305466.0,17551553.0
HIP,IR,NoPrecond,95,None,0,nla-gpu1.ianm.kit.edu,0.05,1,None,1d33f5e54439a064998785b5d0c82f8a,16.756973,35.616792,90.0,135.0,744577.0,6282507.0,11002412.0,18561234.0
HIP,IR,NoPrecond,95,None,0,nla-gpu1.ianm.kit.edu,0.01,1,None,ada11b0fb866762b8de50a132dd85f5b,16.7907,34.70752,55.0,135.0,745586.0,6295165.0,10864136.0,17735374.0
HIP,IR,NoPrecond,95,None,0,nla-gpu1.ianm.kit.edu,0.1,1,None,275c150f27f7868eba25139b3fff2d16,17.169171,35.643967,109.0,135.0,746863.0,6294832.0,10990296.0,18574802.0
HIP,IR,NoPrecond,95,None,0,nla-gpu1.ianm.kit.edu,0.001,1,None,9e695b06cc524586b351735d65189974,17.10489,33.997124,37.0,135.0,757137.0,6321125.0,10564768.0,16955878.0
HIP,BiCGStab,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,1,None,93c33f0188eab8a4fd9a7d64f3070952,18.307733,38.740974,9047.0,135.0,747248.0,6313131.0,11722492.0,21438405.0
HIP,BiCGStab,NoPrecond,95,None,0,nla-gpu1.ianm.kit.edu,None,1,None,7634f4b1bedc39bc1028b0842b02ccd2,17.117679,36.684394,10852.0,135.0,745822.0,6264681.0,11183246.0,19593269.0
