executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n469.localdomain\n', 'top': ['top - 12:45:01 up 52 days,  1:15,  0 users,  load average: 4.29, 18.69, 24.41', 'Tasks: 1090 total,   1 running, 1089 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 193086.6 total, 179554.2 free,   8714.2 used,   4818.1 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 183007.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 963637 nq7776    20   0  103332   8072   7412 D  11.8   0.0   0:00.04 icoFoam', '     12 root      20   0       0      0      0 I   5.9   0.0 100:04.17 rcu_sch+', ' 964569 nq7776    20   0   56780   5304   3584 R   5.9   0.0   0:00.02 top', '      1 root      20   0  261552  11660   8220 S   0.0   0.0   2:28.91 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:20.14 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 12:45:01 up 52 days,  1:15,  0 users,  load average: 4.29, 18.69, 24.41\n', 'libOGL.so': 'f62bcec1d853280ae0d8bc728d666a3a  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
MPI,BiCGStab,NoPrecond,5,2,36,uc2n469.localdomain,1,36,6de8cd3f0aff9a2acf3c57d67cc49fa0,2.474293,1.78356,355.0,135.0,2459.0,7932.0,2798.0,12973.0
MPI,CG,DIC,5,2,36,uc2n469.localdomain,1,36,da8a58866638535f880b0b46ada5b7a0,1.597216,1.766445,396.0,135.0,2462.0,7968.0,2166.0,8506.0
MPI,BiCGStab,DIC,5,2,36,uc2n469.localdomain,1,36,d6f31a1d3f2511d0d90dd73bb6f03339,1.877527,1.883287,270.0,135.0,2530.0,8006.0,2535.0,10498.0
MPI,CG,NoPrecond,5,2,36,uc2n469.localdomain,1,36,405712e015569c31b506de570a73caa5,1.766396,2.027201,478.0,135.0,2780.0,8223.0,2373.0,9635.0
MPI,BiCGStab,NoPrecond,15,2,36,uc2n469.localdomain,1,36,d070906233e9b93bb4749d46d1dc96a5,1.696673,2.333972,1467.0,135.0,3237.0,11537.0,9486.0,67362.0
MPI,CG,DIC,15,2,36,uc2n469.localdomain,1,36,b3417322e00cda5b267fe19ac4a3fb5b,1.475527,8.244472,978.0,135.0,3175.0,15733.0,4102.0,41994.0
MPI,BiCGStab,DIC,15,2,36,uc2n469.localdomain,1,36,71c11eb5539b761a2565ea35c2e4fa11,3.193949,2.740514,745.0,135.0,3097.0,11433.0,5465.0,37335.0
MPI,CG,NoPrecond,15,2,36,uc2n469.localdomain,1,36,655e3a8d367bffa081954ddc3511e41d,1.696815,2.024837,1972.0,135.0,3157.0,15403.0,6591.0,63815.0
MPI,BiCGStab,NoPrecond,90,2,36,uc2n469.localdomain,1,36,61c93c8e2405ac0adf1bfb5436eb5b91,6.184954,31.24696,10289.0,135.0,86847.0,747645.0,3063977.0,24798557.0
MPI,CG,DIC,90,2,36,uc2n469.localdomain,1,36,9d58f60bd0a16474519df520fea4854d,3.050983,12.542969,5208.0,135.0,86924.0,770435.0,970182.0,8001440.0
MPI,BiCGStab,DIC,90,2,36,uc2n469.localdomain,1,36,8acf0793005fa2f3d57939fa574d330e,3.883117,17.219453,3141.0,135.0,86585.0,771146.0,1643183.0,11754560.0
MPI,CG,NoPrecond,90,2,36,uc2n469.localdomain,1,36,a5f3d4845ce377a5e484983c98601f70,3.63287,14.855783,12535.0,135.0,86884.0,769589.0,1179313.0,10140021.0
MPI,BiCGStab,NoPrecond,75,2,36,uc2n469.localdomain,1,36,27544bc1e2ac88b68faa547f300135b7,2.992316,12.426478,8294.0,135.0,41481.0,344531.0,911806.0,8156416.0
MPI,CG,DIC,75,2,36,uc2n469.localdomain,1,36,3873a1b9f03d40c5c7a9e82876f56094,2.29793,5.526602,4184.0,135.0,41327.0,341963.0,317513.0,2679509.0
MPI,BiCGStab,DIC,75,2,36,uc2n469.localdomain,1,36,ec9655d6f79140f1639e22b07e793128,3.336152,8.087261,2675.0,135.0,41431.0,343347.0,554656.0,4307884.0
MPI,CG,NoPrecond,75,2,36,uc2n469.localdomain,1,36,f366926820c94b7d5b43c14f0cacc1f3,5.391319,9.477791,10178.0,135.0,41334.0,342060.0,403702.0,3571537.0
MPI,BiCGStab,NoPrecond,40,2,36,uc2n469.localdomain,1,36,9460919c2f75f7f7fa35505dab0ce2bb,2.096492,2.71565,4295.0,135.0,6953.0,37567.0,68665.0,556382.0
MPI,CG,DIC,40,2,36,uc2n469.localdomain,1,36,0e49e810f313f95c1136b6a8f94f68e1,1.779346,3.526302,2343.0,135.0,21384.0,52271.0,29630.0,225695.0
MPI,BiCGStab,DIC,40,2,36,uc2n469.localdomain,1,36,34be02270fa774fc74c06f95e9d4f42b,1.864371,3.224753,1688.0,135.0,7019.0,37899.0,41647.0,339897.0
MPI,CG,NoPrecond,40,2,36,uc2n469.localdomain,1,36,4df5e44f58d94c7d1786ccf884319d41,2.274446,2.259513,5595.0,135.0,7087.0,38040.0,44040.0,377716.0
MPI,BiCGStab,NoPrecond,25,2,36,uc2n469.localdomain,1,36,085704b30a63b8c78b23ea14cb1c665f,1.778253,2.246438,2722.0,135.0,4200.0,17782.0,23368.0,181690.0
MPI,CG,DIC,25,2,36,uc2n469.localdomain,1,36,9057aaf1181115609a7f7e0f1bfa72d4,1.966844,2.18729,1619.0,135.0,3886.0,17525.0,9505.0,68568.0
MPI,BiCGStab,DIC,25,2,36,uc2n469.localdomain,1,36,ca1b3bc2953619240d2af9f802ca116b,1.780811,2.126837,1131.0,135.0,4133.0,18037.0,12942.0,93357.0
MPI,CG,NoPrecond,25,2,36,uc2n469.localdomain,1,36,c2213a32e296d3bd1f905e6142430fb4,2.091192,2.174168,3477.0,135.0,4095.0,17672.0,15330.0,116933.0
MPI,BiCGStab,NoPrecond,65,2,36,uc2n469.localdomain,1,36,89a731c3d049e2f3abd69dac5b79daa5,2.256133,6.098453,6938.0,135.0,23043.0,173979.0,430627.0,3537026.0
MPI,CG,DIC,65,2,36,uc2n469.localdomain,1,36,ee2b9fe792c899285d79cddecd7e2cc0,2.225289,3.799182,3616.0,135.0,25379.0,175481.0,154166.0,1328247.0
MPI,BiCGStab,DIC,65,2,36,uc2n469.localdomain,1,36,4ec1c0ab4bc23ac3312a8e27d65753aa,2.087512,4.755024,2631.0,135.0,22745.0,172950.0,234704.0,2133246.0
MPI,CG,NoPrecond,65,2,36,uc2n469.localdomain,1,36,0d48fdd35be66e41bb4b7e78888a9c12,2.324576,4.490059,8867.0,135.0,22696.0,172511.0,223211.0,1910012.0
MPI,BiCGStab,NoPrecond,95,2,36,uc2n469.localdomain,1,36,7d7868e25e5173a39762f5a57849171b,6.667522,42.900479,11557.0,135.0,107244.0,920385.0,4194898.0,34888244.0
MPI,CG,DIC,95,2,36,uc2n469.localdomain,1,36,e767abfc65a4f4c3e08619896cbee86d,3.551335,17.027585,5782.0,135.0,106797.0,946417.0,1338416.0,11542097.0
MPI,BiCGStab,DIC,95,2,36,uc2n469.localdomain,1,36,31d5e1230280c1d3e1b6d136d04e5ceb,4.749809,23.232828,3835.0,135.0,106511.0,924883.0,2348249.0,18134353.0
