executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n425.localdomain\n', 'top': ['top - 09:02:45 up 49 days, 22:18,  0 users,  load average: 7.10, 7.25, 9.03', 'Tasks: 1067 total,   9 running, 1058 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  3.8 us,  0.1 sy,  0.0 ni, 96.0 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem :  96318.7 total,  83113.1 free,  11009.2 used,   2196.4 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  84431.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2500137 ul_lzq66  20   0 2026172 254780  13244 R  94.1   0.3   2581:50 python', '1400989 ul_tks85  20   0 1437512 811864  16708 R  35.3   0.8   1283:57 julia', '1400991 ul_tks85  20   0 1477728 927736  16592 R  35.3   0.9   1283:29 julia', '1400993 ul_tks85  20   0 1470640 879132  16468 R  35.3   0.9   1285:34 julia', '1400985 ul_tks85  20   0 1452456 850244  16556 R  29.4   0.9   1285:10 julia', '1400986 ul_tks85  20   0 1529736   1.0g  16712 R  29.4   1.0   1287:36 julia', '1400988 ul_tks85  20   0 1494508 951916  16676 R  29.4   1.0   1284:46 julia', '   1351 root      20   0  154316  26768  20936 S   5.9   0.0   1:05.18 systemd+'], 'uptime': ' 09:02:45 up 49 days, 22:18,  0 users,  load average: 7.10, 7.25, 9.03\n', 'libOGL.so': 'f62bcec1d853280ae0d8bc728d666a3a  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
Serial,CG,DIC,5,1,0,uc2n425.localdomain,1,46b481ecb6a19d4d4ee5737f1e4e3318,0.083261,0.084613,156.0,135.0,205.0,1034.0,119.0,658.0
Serial,BiCGStab,DIC,5,1,0,uc2n425.localdomain,1,d95b1fd10f4d001f8fd561a1185d9682,0.080412,0.084333,97.0,135.0,203.0,1021.0,127.0,698.0
Serial,BiCGStab,NoPrecond,5,1,0,uc2n425.localdomain,1,f7b49c0a5aed577d525760415b272d11,0.086038,0.090656,320.0,135.0,190.0,999.0,189.0,1016.0
Serial,CG,NoPrecond,5,1,0,uc2n425.localdomain,1,adf2399f0a93067bc8e4a08784fecc0c,0.083091,0.085832,434.0,135.0,202.0,1033.0,157.0,832.0
Serial,CG,DIC,15,1,0,uc2n425.localdomain,1,02fe726ab93cb24c56cb3f994f5d0bd1,0.108233,0.17134,592.0,135.0,2519.0,18129.0,4628.0,33062.0
Serial,BiCGStab,DIC,15,1,0,uc2n425.localdomain,1,71d79d545cfcf3d6cd69f3dc4fda34d7,0.111075,0.1853,444.0,135.0,2494.0,17998.0,6210.0,47460.0
Serial,BiCGStab,NoPrecond,15,1,0,uc2n425.localdomain,1,287658145fd4add9a4727fd98d070977,0.11431,0.221684,1393.0,135.0,2364.0,17909.0,12780.0,82862.0
Serial,CG,NoPrecond,15,1,0,uc2n425.localdomain,1,ffd58fea964f5dc5c9be769bb1330321,0.111242,0.197628,1876.0,135.0,2473.0,17901.0,7665.0,57151.0
Serial,CG,DIC,90,1,0,uc2n425.localdomain,1,fb61dcbd7d91c6235537251da502005a,13.230443,95.86676,4241.0,135.0,744332.0,6215652.0,8289899.0,73553829.0
