executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,innerReductionFactor,maxBlockSize,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n481.localdomain\n', 'top': ['top - 19:55:45 up 66 days, 2 min,  0 users,  load average: 1.49, 1.19, 1.43', 'Tasks: 1292 total,   1 running, 1291 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.3 us,  0.3 sy,  0.0 ni, 98.4 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 386622.4 total, 352301.6 free,  24530.5 used,   9790.4 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 359355.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 333995 nd4829    20   0   12.3g   2.9g 113168 S  94.4   0.8 280:38.51 python3', ' 374596 jz4551    20   0 1661152 166232  68088 S  11.1   0.0   0:01.79 python', ' 378140 nq7776    20   0   56900   5572   3592 R  11.1   0.0   0:00.03 top', '     12 root      20   0       0      0      0 I   5.6   0.0 122:05.64 rcu_sch+', '      1 root      20   0  319240   8648   4740 S   0.0   0.0   0:35.99 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:44.19 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+'], 'uptime': ' 19:55:45 up 66 days, 2 min,  0 users,  load average: 1.49, 1.19, 1.43\n', 'libOGL.so': '570b5b30e474f1f37640b2f8f3c60cba  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,None,16,1,070ce3fc6851ef4cbcff9696d486467c,0.915987,0.942315,410.0,135.0,186.0,990.0,749497.0,782204.0
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,None,8,1,481886912d6da1758ebabea6e720451d,0.903183,0.942812,440.0,135.0,189.0,1000.0,749791.0,782622.0
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,None,2,1,72871ed0fd3a785ae07d08f37597de8f,0.873572,0.923539,470.0,135.0,187.0,998.0,735684.0,769989.0
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,None,4,1,222a2419f8fe8360351a8ff82fb91fd4,0.898581,0.941152,470.0,135.0,180.0,1008.0,744633.0,779047.0
CUDA,CG,BJ,5,1,0,uc2n481.localdomain,None,1,1,4d7338bba8d9f50ca94acd6549ed2141,0.902409,0.93841,480.0,135.0,181.0,985.0,742283.0,777184.0
CUDA,BiCGStab,ILU,5,1,0,uc2n481.localdomain,None,None,1,11176e4f76580f2a65ae99c61349ed29,0.911225,0.949593,145.0,135.0,206.0,1012.0,747843.0,789722.0
CUDA,BiCGStab,NoPrecond,5,1,0,uc2n481.localdomain,None,None,1,83e1e87891b9b79492f1a328c66707cf,0.897891,0.955975,355.0,135.0,181.0,1054.0,747911.0,794962.0
CUDA,CG,NoPrecond,5,1,0,uc2n481.localdomain,None,None,1,f37056a469e368868606b5f60128895e,0.900735,0.942173,530.0,135.0,180.0,988.0,744863.0,783448.0
CUDA,IR,NoPrecond,5,1,0,uc2n481.localdomain,0.1,None,1,e737e8888b5ffb9780e69e0769232fe3,0.935637,1.20345,180.0,135.0,188.0,985.0,756074.0,1021412.0
CUDA,IR,NoPrecond,5,1,0,uc2n481.localdomain,0.01,None,1,29b0fea987ae074eb14d4beaae570be6,0.946186,1.406462,180.0,135.0,183.0,1023.0,788930.0,1195053.0
CUDA,IR,NoPrecond,5,1,0,uc2n481.localdomain,0.05,None,1,2c0a9d904cac29acc7b1205e5fcaa0d5,0.935122,1.321001,180.0,135.0,183.0,1042.0,778123.0,1113589.0
CUDA,IR,NoPrecond,5,1,0,uc2n481.localdomain,0.001,None,1,64079c238cdbe5dfee941eb64815cacb,0.965411,1.577429,180.0,135.0,181.0,1017.0,815851.0,1349299.0
CUDA,CG,ILU,5,1,0,uc2n481.localdomain,None,None,1,34870463e078948ceaa55183eda7ee15,0.903292,0.948288,250.0,135.0,187.0,1022.0,749575.0,787625.0
CUDA,BiCGStab,BJ,5,1,0,uc2n481.localdomain,None,None,1,98893cab83d4a8efa81d7e611f90d05f,0.876072,0.93638,250.0,135.0,188.0,1002.0,745950.0,781247.0
CUDA,CG,BJ,15,1,0,uc2n481.localdomain,None,16,1,6539ee35a320c68ddc81502f3e411195,0.958739,1.09586,1640.0,135.0,2512.0,17970.0,798832.0,880784.0
CUDA,CG,BJ,15,1,0,uc2n481.localdomain,None,8,1,92c2a060f0f9a23925e1d5da7308fa2c,0.949602,1.081863,1670.0,135.0,2366.0,18130.0,778445.0,864212.0
CUDA,CG,BJ,15,1,0,uc2n481.localdomain,None,2,1,f659107122423f1ef5d89fb831628693,0.95917,1.078656,1690.0,135.0,2396.0,17896.0,781974.0,866269.0
CUDA,CG,BJ,15,1,0,uc2n481.localdomain,None,4,1,f73ea882e83bba1f4f661de40b6a84c2,0.955085,1.080664,1690.0,135.0,2501.0,18155.0,779560.0,864713.0
CUDA,CG,BJ,15,1,0,uc2n481.localdomain,None,1,1,504a69176ba715ee5b3741d4e1e06404,0.9618,1.091857,1810.0,135.0,2357.0,17977.0,785524.0,876514.0
CUDA,BiCGStab,ILU,15,1,0,uc2n481.localdomain,None,None,1,84b1e95856fb79f09a44b1b9514cb212,0.969786,1.17808,475.0,135.0,2369.0,18014.0,801625.0,957099.0
CUDA,BiCGStab,NoPrecond,15,1,0,uc2n481.localdomain,None,None,1,260be90555a6603cf375f2f1c5a4b7ac,0.944766,1.119603,1420.0,135.0,2371.0,17812.0,781574.0,912073.0
CUDA,CG,NoPrecond,15,1,0,uc2n481.localdomain,None,None,1,eb3ab1b1bd440ed8380fe2969e9b54af,0.931473,1.06945,1980.0,135.0,2371.0,17880.0,760875.0,861866.0
CUDA,IR,NoPrecond,15,1,0,uc2n481.localdomain,0.1,None,1,99fc8729021321498b981b17ba953bee,1.031071,1.780913,180.0,135.0,2377.0,18058.0,853345.0,1494019.0
CUDA,IR,NoPrecond,15,1,0,uc2n481.localdomain,0.01,None,1,6315b255b18142c46eedb6fbfa23ae72,1.087081,2.39168,180.0,135.0,2376.0,17826.0,915478.0,2041797.0
CUDA,IR,NoPrecond,15,1,0,uc2n481.localdomain,0.05,None,1,9c03fd5bbd358fb411057ee1019c3d3c,1.041735,1.946968,180.0,135.0,2487.0,17943.0,869813.0,1632863.0
CUDA,IR,NoPrecond,15,1,0,uc2n481.localdomain,0.001,None,1,5b9cc0dc87001dba9293424680ba0fbb,1.121831,2.923824,180.0,135.0,2472.0,18036.0,955759.0,2520986.0
CUDA,CG,ILU,15,1,0,uc2n481.localdomain,None,None,1,72448448915819f7d8b40c4452248234,0.92993,1.099042,650.0,135.0,2367.0,17887.0,774130.0,889130.0
CUDA,BiCGStab,BJ,15,1,0,uc2n481.localdomain,None,None,1,9dbb5b763c4561eb8a4059077c80d258,0.934562,1.071255,1145.0,135.0,2361.0,17778.0,763345.0,868311.0
CUDA,CG,BJ,90,1,0,uc2n481.localdomain,None,16,1,55470e0162886e6cffdda19368d99907,13.740718,29.41613,11130.0,135.0,789725.0,6617201.0,8910709.0,13529797.0
CUDA,CG,BJ,90,1,0,uc2n481.localdomain,None,8,1,b7ee50a9c36c4788d56a40a90c4cf196,13.714731,28.918229,11160.0,135.0,795049.0,6637612.0,8900267.0,12969325.0
CUDA,CG,BJ,90,1,0,uc2n481.localdomain,None,2,1,b3fdd8e807c55da7ad0852764856350d,13.632381,28.597988,12150.0,135.0,791743.0,6619822.0,8883032.0,12773735.0
CUDA,CG,BJ,90,1,0,uc2n481.localdomain,None,4,1,133ca9dda2537175ff475320456c7876,13.751454,28.331997,11330.0,135.0,778774.0,6529534.0,8830286.0,12638274.0
CUDA,CG,BJ,90,1,0,uc2n481.localdomain,None,1,1,b51bf7aa75ca6ae36a79c374f4816064,13.580248,28.672615,13280.0,135.0,791932.0,6592356.0,8757482.0,12855528.0
CUDA,BiCGStab,ILU,90,1,0,uc2n481.localdomain,None,None,1,19c43c0f01b37ab6780b1d1ad75a13ce,17.207042,59.552675,3120.0,135.0,783264.0,6620532.0,12354228.0,40521400.0
CUDA,BiCGStab,NoPrecond,90,1,0,uc2n481.localdomain,None,None,1,14c102a3b034556670b9b9891142698e,13.778798,31.166593,10885.0,135.0,788864.0,6654594.0,9003859.0,15054688.0
CUDA,CG,NoPrecond,90,1,0,uc2n481.localdomain,None,None,1,7239b486de3e6d984812bad8a8a1593a,13.575098,28.554138,13460.0,135.0,777706.0,6545800.0,8753635.0,12816274.0
CUDA,IR,NoPrecond,90,1,0,uc2n481.localdomain,0.1,None,1,98dd203a37c0b3a075f2df8b07f96d3f,14.457565,37.744415,180.0,135.0,789703.0,6612780.0,9652626.0,20882397.0
CUDA,IR,NoPrecond,90,1,0,uc2n481.localdomain,0.01,None,1,e79fed2f985822106025740bb7f8f5e6,15.303295,45.740306,180.0,135.0,778082.0,6482970.0,10490991.0,28358976.0
CUDA,IR,NoPrecond,90,1,0,uc2n481.localdomain,0.05,None,1,1697df0ab293bdd5158e9f64eb8d8d74,14.688086,39.884631,180.0,135.0,787192.0,6575056.0,9859773.0,22861045.0
CUDA,IR,NoPrecond,90,1,0,uc2n481.localdomain,0.001,None,1,44ad00de4f7719d990823338184484b8,16.565048,58.4154,180.0,135.0,788038.0,6592540.0,11778969.0,39297693.0
CUDA,CG,ILU,90,1,0,uc2n481.localdomain,None,None,1,fa429f2a4fc88ecbd3998794366bf71b,15.834127,48.742578,4320.0,135.0,789688.0,6617344.0,11028070.0,30854887.0
CUDA,BiCGStab,BJ,90,1,0,uc2n481.localdomain,None,None,1,ce8973392c17fa40c7bfe680939c41e0,14.027805,32.295475,8765.0,135.0,788870.0,6639399.0,9218726.0,16082428.0
CUDA,CG,BJ,75,1,0,uc2n481.localdomain,None,16,1,a2d87ff9c613f9644c207d3be16a6252,8.391869,16.601486,8650.0,135.0,442615.0,3724795.0,5310524.0,7540394.0
CUDA,CG,BJ,75,1,0,uc2n481.localdomain,None,8,1,fde103d2e615b64897300d416d88fd48,8.161541,16.28655,8660.0,135.0,445302.0,3721900.0,5271485.0,7249146.0
CUDA,CG,BJ,75,1,0,uc2n481.localdomain,None,2,1,258f13858163d29db33c59fde9e4c6bd,8.029559,16.107616,9000.0,135.0,443948.0,3725064.0,5225058.0,7046385.0
CUDA,CG,BJ,75,1,0,uc2n481.localdomain,None,4,1,33d7253256412d5f6c06e334a4c33715,8.039642,16.113064,8750.0,135.0,444172.0,3712431.0,5227570.0,7084001.0
CUDA,CG,BJ,75,1,0,uc2n481.localdomain,None,1,1,b3bae3931edf15b410d8b265bc86dec2,8.044592,16.212844,10270.0,135.0,444287.0,3711988.0,5210490.0,7176909.0
CUDA,BiCGStab,ILU,75,1,0,uc2n481.localdomain,None,None,1,2c0f16d0e10659a38dca2a989848a632,9.732904,30.015107,2515.0,135.0,442228.0,3725682.0,6917366.0,20348174.0
CUDA,BiCGStab,NoPrecond,75,1,0,uc2n481.localdomain,None,None,1,cbb36bf9fc4145b4caea402978792dd4,8.123341,17.509007,8770.0,135.0,443125.0,3705711.0,5334875.0,8358239.0
CUDA,CG,NoPrecond,75,1,0,uc2n481.localdomain,None,None,1,465db929a8bb90fbfadbd8428583700d,8.05717,16.121771,10420.0,135.0,442192.0,3710057.0,5185733.0,7098629.0
CUDA,IR,NoPrecond,75,1,0,uc2n481.localdomain,0.1,None,1,bb4469da38d2c73a39acfbcfc619189e,8.742014,21.462775,180.0,135.0,437553.0,3660407.0,5676531.0,11971610.0
CUDA,IR,NoPrecond,75,1,0,uc2n481.localdomain,0.01,None,1,f2d2354f32a1cf4fe1cc23d2356a10cd,9.094092,27.108937,180.0,135.0,438222.0,3653278.0,6261918.0,17081045.0
CUDA,IR,NoPrecond,75,1,0,uc2n481.localdomain,0.05,None,1,403b8908bf62bff69591cfc7c60a71de,8.71517,23.59927,180.0,135.0,444156.0,3729651.0,5886045.0,13839830.0
CUDA,IR,NoPrecond,75,1,0,uc2n481.localdomain,0.001,None,1,e10e2e84c341165bbe089905e0131bd4,9.784242,33.853589,180.0,135.0,498673.0,3771523.0,6737224.0,22681594.0
CUDA,CG,ILU,75,1,0,uc2n481.localdomain,None,None,1,fbc5ca4e3ab897aace0a3a5193836d33,9.122136,25.28085,3340.0,135.0,443450.0,3703693.0,6281419.0,15325077.0
CUDA,BiCGStab,BJ,75,1,0,uc2n481.localdomain,None,None,1,a0cf8dbfa05c18158b9cc8ac7adec4e6,8.215543,17.386954,6360.0,135.0,438478.0,3667141.0,5429149.0,8475800.0
CUDA,CG,BJ,40,1,0,uc2n481.localdomain,None,16,1,1b378c95b74b2b4b141dcfc42b3fa7b7,1.883952,2.953984,4580.0,135.0,53601.0,430430.0,1367447.0,1672431.0
CUDA,CG,BJ,40,1,0,uc2n481.localdomain,None,8,1,3c0c83ea2d21709801df1831779f3aeb,1.87727,2.903915,4560.0,135.0,53766.0,434814.0,1350812.0,1621955.0
CUDA,CG,BJ,40,1,0,uc2n481.localdomain,None,2,1,da7cfc07ce971cc07b71ef64970a5ff8,1.879791,2.979919,4940.0,135.0,56124.0,441203.0,1374568.0,1671979.0
CUDA,CG,BJ,40,1,0,uc2n481.localdomain,None,4,1,74bddfbbafb44a3aae91de2be54c7763,1.880505,2.927002,4680.0,135.0,53947.0,433738.0,1361892.0,1646497.0
CUDA,CG,BJ,40,1,0,uc2n481.localdomain,None,1,1,2aab109fac83d23f80fcefce5b706b33,1.856688,2.942994,5380.0,135.0,53955.0,436157.0,1340632.0,1652361.0
CUDA,BiCGStab,ILU,40,1,0,uc2n481.localdomain,None,None,1,7fdf15ba85905810b3fba696ae0b8b03,2.075304,4.438458,1295.0,135.0,53652.0,433227.0,1539913.0,3012709.0
CUDA,BiCGStab,NoPrecond,40,1,0,uc2n481.localdomain,None,None,1,a1ec531ad27998710c98bf8d8a91a5a1,1.885483,2.982215,3520.0,135.0,53131.0,431682.0,1369602.0,1712656.0
CUDA,CG,NoPrecond,40,1,0,uc2n481.localdomain,None,None,1,ffe69768787c9d025ece3a6c60afa54c,1.865871,2.916485,5510.0,135.0,52833.0,433145.0,1351751.0,1635557.0
CUDA,IR,NoPrecond,40,1,0,uc2n481.localdomain,0.1,None,1,52ea3d789f0fe3764aa0e13bfee4b33d,2.073134,4.604866,180.0,135.0,54110.0,437650.0,1531337.0,3124305.0
CUDA,IR,NoPrecond,40,1,0,uc2n481.localdomain,0.01,None,1,df4df24024522195f2b7b37a046eab01,2.199628,6.122442,180.0,135.0,55995.0,454121.0,1669337.0,4459367.0
CUDA,IR,NoPrecond,40,1,0,uc2n481.localdomain,0.05,None,1,9365fc291c75995e730b6a28e24ec88e,2.081324,5.010274,180.0,135.0,53922.0,440249.0,1558919.0,3531634.0
CUDA,IR,NoPrecond,40,1,0,uc2n481.localdomain,0.001,None,1,5b0ce6b520eb92648bdb3de71a20a555,2.3045,7.478064,180.0,135.0,53359.0,433926.0,1786817.0,5715891.0
CUDA,CG,ILU,40,1,0,uc2n481.localdomain,None,None,1,09b81e88fb06ae5ba59aa0623a35275c,1.998058,3.923969,1830.0,135.0,54339.0,435003.0,1479352.0,2545334.0
CUDA,BiCGStab,BJ,40,1,0,uc2n481.localdomain,None,None,1,294209f27106c0654b85940ed4f00370,1.897446,3.017869,2875.0,135.0,53643.0,437468.0,1376531.0,1740135.0
CUDA,CG,BJ,25,1,0,uc2n481.localdomain,None,16,1,4b2c63c1c31c74dc0e21da8d69c220a4,1.136974,1.429996,2910.0,135.0,11427.0,90851.0,895211.0,1031652.0
CUDA,CG,BJ,25,1,0,uc2n481.localdomain,None,8,1,74fde8cb0ad9c66f1776d03c65618ad0,1.133482,1.430217,2930.0,135.0,11328.0,90939.0,892384.0,1028690.0
CUDA,CG,BJ,25,1,0,uc2n481.localdomain,None,2,1,1704f51579b408bb0543ccf5006238c2,1.136216,1.429968,2920.0,135.0,11284.0,90470.0,893537.0,1029475.0
CUDA,CG,BJ,25,1,0,uc2n481.localdomain,None,4,1,20872354907459d2c0594b177d21e8c0,1.135817,1.428427,2910.0,135.0,11453.0,91101.0,894717.0,1030516.0
CUDA,CG,BJ,25,1,0,uc2n481.localdomain,None,1,1,8f87031340d68437539e262eec538d91,1.134953,1.447951,3220.0,135.0,11486.0,90844.0,892130.0,1041180.0
CUDA,BiCGStab,ILU,25,1,0,uc2n481.localdomain,None,None,1,afc29f9153750fda85948b0df27aed4e,1.18424,1.793238,795.0,135.0,11290.0,90834.0,946119.0,1357687.0
CUDA,BiCGStab,NoPrecond,25,1,0,uc2n481.localdomain,None,None,1,b2964ef3258822745b3ea1b71da670ad,1.180217,1.6035,2525.0,135.0,11674.0,92300.0,931481.0,1171324.0
CUDA,CG,NoPrecond,25,1,0,uc2n481.localdomain,None,None,1,e7ff82a9af0d8376c9a327b3b5f48612,1.135023,1.471207,3340.0,135.0,11331.0,91396.0,897639.0,1060928.0
CUDA,IR,NoPrecond,25,1,0,uc2n481.localdomain,0.1,None,1,d7fe9e5be917754a9ac1fa11deb83468,1.230152,2.475955,180.0,135.0,11408.0,90562.0,990132.0,1956221.0
CUDA,IR,NoPrecond,25,1,0,uc2n481.localdomain,0.01,None,1,12da77d33de0091a459ad20fce365cdc,1.311132,3.454704,180.0,135.0,11389.0,90883.0,1070733.0,2835211.0
CUDA,IR,NoPrecond,25,1,0,uc2n481.localdomain,0.05,None,1,8b3dd93b69fe99abc81294a6c57428a0,1.25351,2.771973,180.0,135.0,11511.0,92435.0,1016482.0,2220543.0
CUDA,IR,NoPrecond,25,1,0,uc2n481.localdomain,0.001,None,1,28a574c6453c3870d0fcd2796f8a0878,1.403525,4.323034,180.0,135.0,11421.0,91028.0,1168321.0,3619324.0
CUDA,CG,ILU,25,1,0,uc2n481.localdomain,None,None,1,054a8d1b16c31645273d49a8124f7da5,1.170236,1.671315,1140.0,135.0,11278.0,91082.0,932541.0,1247278.0
CUDA,BiCGStab,BJ,25,1,0,uc2n481.localdomain,None,None,1,29972b14ef2ecd8d3074c73fa4a77324,1.136905,1.468868,1930.0,135.0,11401.0,90653.0,896528.0,1065349.0
CUDA,CG,BJ,65,1,0,uc2n481.localdomain,None,16,1,bab95ffea80dc39d415b21135e4ea9e3,5.606835,10.935584,7900.0,135.0,276635.0,2302937.0,3708219.0,5108324.0
CUDA,CG,BJ,65,1,0,uc2n481.localdomain,None,8,1,62256b5caf0eb5e873de4c2d2662aa10,5.5533,10.713795,7880.0,135.0,276500.0,2298224.0,3669112.0,4912790.0
CUDA,CG,BJ,65,1,0,uc2n481.localdomain,None,2,1,aa703a65ea20a1d302d9a5b5983d9fe6,5.548349,10.52072,8060.0,135.0,275928.0,2296279.0,3648340.0,4751763.0
CUDA,CG,BJ,65,1,0,uc2n481.localdomain,None,4,1,1f6ff108a0eea6adb895d84da445123b,5.542862,10.570845,7870.0,135.0,275561.0,2294037.0,3653924.0,4798641.0
CUDA,CG,BJ,65,1,0,uc2n481.localdomain,None,1,1,53bf960651f444802fc3e9cea92e18ae,5.517875,10.64113,9110.0,135.0,278528.0,2320182.0,3634582.0,4817288.0
CUDA,BiCGStab,ILU,65,1,0,uc2n481.localdomain,None,None,1,8c91d64436fed829fa4a7fe52d3b2a07,6.49988,19.220853,2200.0,135.0,279203.0,2319518.0,4608146.0,12563919.0
CUDA,BiCGStab,NoPrecond,65,1,0,uc2n481.localdomain,None,None,1,dc5530623271c8cf0d5fba8a77c25dfc,5.614186,11.428536,7450.0,135.0,280420.0,2351207.0,3726689.0,5513438.0
CUDA,CG,NoPrecond,65,1,0,uc2n481.localdomain,None,None,1,c7e02efa48153543e79dba330a312a5d,5.520378,10.589855,9310.0,135.0,276179.0,2298745.0,3633490.0,4797875.0
CUDA,IR,NoPrecond,65,1,0,uc2n481.localdomain,0.1,None,1,29e5959b121f723e078ced6d18a579ce,5.867897,14.331899,180.0,135.0,283132.0,2329778.0,3992931.0,8079973.0
CUDA,IR,NoPrecond,65,1,0,uc2n481.localdomain,0.01,None,1,e4950ae926e7a3891dfff3b2c4423e08,6.198826,17.955276,180.0,135.0,280965.0,2355010.0,4327967.0,11310237.0
CUDA,IR,NoPrecond,65,1,0,uc2n481.localdomain,0.05,None,1,21523f9729ff6d18f2bfbd121b7b7088,5.977202,15.747214,180.0,135.0,279305.0,2331093.0,4057656.0,9328074.0
CUDA,IR,NoPrecond,65,1,0,uc2n481.localdomain,0.001,None,1,7da468c320ed4fe1f2707fdfa744ec7b,6.673358,22.249244,180.0,135.0,277594.0,2305416.0,4786844.0,15219410.0
