executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,innerReductionFactor,maxBlockSize,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'top': ['top - 09:07:04 up 7 days, 13:59,  1 user,  load average: 0.59, 0.49, 0.32', 'Tasks: 941 total,   1 running, 940 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515589.7 total, 506280.4 free,   3170.7 used,   6138.6 buff/cache', 'MiB Swap: 131072.0 total, 131072.0 free,      0.0 used. 509740.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   2646 root      rt   0  705588 225840  93052 S   5.9   0.0  53:54.52 corosync', '3167826 greole    20   0   67228   7936   4788 S   5.9   0.0   0:00.60 zsh', '3181074 greole    25   5   66236   5932   4284 R   5.9   0.0   0:00.03 top', '      1 root      20   0  241640  14604   8864 S   0.0   0.0   0:04.90 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:00.37 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 09:07:04 up 7 days, 13:59,  1 user,  load average: 0.59, 0.49, 0.32\n', 'libOGL.so': '341294933b6c36fc289f3b5de7561e29  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,2,1,d9ef85e18e637fb1774a356993637cf5,12.024973,23.006643,10850.0,135.0,528487.0,4531458.0,7923918.0,10892882.0
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,16,1,f49aa1a4410faedf0dc53a94847fc5b3,12.277399,23.660698,10390.0,135.0,528033.0,4533900.0,7913543.0,11427779.0
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,1,1,ebf9f552dca43dae78c1d89e79e361fc,12.141261,22.749506,12410.0,135.0,526136.0,4506470.0,7381428.0,10556167.0
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,4,1,c4505f64e3a3dc575b19b7d09a5bfcec,12.257915,22.877236,10500.0,135.0,527836.0,4515795.0,7615086.0,10681013.0
HIP,CG,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,8,1,ca7caecc9f58fe4e94b3686aa9bb889d,12.276004,23.170247,10400.0,135.0,524541.0,4512610.0,7839486.0,11011109.0
HIP,IR,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,0.05,None,1,7193f12e601ff533de7e72e7ba629bf5,12.632991,33.024627,180.0,135.0,524988.0,4517504.0,8061331.0,19852265.0
HIP,IR,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,0.01,None,1,6a473afa86d9f09660c9dee87892f42a,13.066154,37.593809,180.0,135.0,527672.0,4493862.0,8563323.0,24206615.0
HIP,IR,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,0.1,None,1,dd24513a35938ff10742502b99eb0d3f,12.545027,30.248656,180.0,135.0,528889.0,4515881.0,8029402.0,17246995.0
HIP,IR,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,0.001,None,1,0a83fc7f906e115a2557f4c80ab01539,14.474053,48.737042,180.0,135.0,529577.0,4519257.0,10000618.0,33768634.0
HIP,BiCGStab,BJ,85,None,0,nla-gpu1.ianm.kit.edu,None,None,1,37c5b1b5bed10ee9828c2da032adca85,12.495507,25.086398,7720.0,135.0,522738.0,4516638.0,7770657.0,12706791.0
HIP,BiCGStab,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,None,None,1,31efe6da7e55d2758409b9b12c27e4cf,12.017282,24.419615,10055.0,135.0,522615.0,4485060.0,7362320.0,12091891.0
HIP,CG,ILU,85,None,0,nla-gpu1.ianm.kit.edu,None,None,1,5a35a71d8a7280bafcebe108a996d839,12.659872,29.528679,4060.0,135.0,522339.0,4519647.0,8089433.0,16639203.0
HIP,CG,NoPrecond,85,None,0,nla-gpu1.ianm.kit.edu,None,None,1,73b97b1fb64df9970009c3f58d911125,11.87456,22.409903,12580.0,135.0,528656.0,4489937.0,7108170.0,10242364.0
HIP,BiCGStab,ILU,85,None,0,nla-gpu1.ianm.kit.edu,None,None,1,858398922aca78096b6860963998a318,12.951442,33.169098,2900.0,135.0,525972.0,4511465.0,8657991.0,20631558.0
HIP,CG,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,2,1,edf448d5b12fcbc43af9b677b39521db,16.854597,31.822046,12430.0,135.0,744176.0,6336449.0,10791908.0,14964450.0
HIP,CG,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,16,1,6581af5139f945ce5b59cda7ea5119b6,17.081919,32.9059,12110.0,135.0,737173.0,6365548.0,10718514.0,15933627.0
HIP,CG,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,1,1,0cf0d7d1a3aa76e6030c2987b25a8364,16.276614,31.143398,14150.0,135.0,746636.0,6396334.0,9709935.0,14217136.0
HIP,CG,BJ,95,None,0,nla-gpu1.ianm.kit.edu,None,4,1,c0a03df14b1319b4ca94f0827cc5bc1c,16.974034,31.740769,12080.0,135.0,746277.0,6331862.0,10593622.0,14903172.0
