executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n367.localdomain\n', 'top': ['top - 11:11:09 up 63 days,  9:21,  0 users,  load average: 4.09, 5.25, 6.46', 'Tasks: 1135 total,   7 running, 1128 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  5.4 us,  0.2 sy,  0.0 ni, 94.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  87386.4 free,   5691.3 used,   3241.0 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  89745.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '4150232 tp6461    20   0 2546852 245760   9912 S  64.7   0.2 227:32.09 python3', '4174348 tp6461    20   0 2523800 284952   4620 R  41.2   0.3   4:29.57 python3', '4174341 tp6461    20   0 2523800 284716   4384 R  35.3   0.3   4:43.93 python3', '4174342 tp6461    20   0 2523800 284960   4628 R  35.3   0.3   4:43.94 python3', '4174344 tp6461    20   0 2523800 284952   4620 R  35.3   0.3   4:14.48 python3', '4174346 tp6461    20   0 2523800 284948   4616 R  35.3   0.3   4:57.83 python3', '4174347 tp6461    20   0 2523800 284952   4620 R  35.3   0.3   4:55.97 python3', '4174338 tp6461    20   0 2523800 284732   4400 S  29.4   0.3   4:05.84 python3'], 'uptime': ' 11:11:09 up 63 days,  9:21,  0 users,  load average: 4.09, 5.25, 6.46\n', 'libOGL.so': '805391b6a1fddb6a5dd5ab9acf7d3c9b  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
Serial,CG,DIC,5,1,0,uc2n367.localdomain,1,06f936ce8e1c97661404dbb72fd5d04a,0.08035,0.080108,156.0,135.0,192.0,1024.0,120.0,655.0
Serial,BiCGStab,DIC,5,1,0,uc2n367.localdomain,1,148bdc3947e11f4467ecfc7d8dfc9307,0.086344,0.088336,97.0,135.0,199.0,1021.0,128.0,688.0
Serial,BiCGStab,NoPrecond,5,1,0,uc2n367.localdomain,1,2bf954b58fb82db5a8eceb4efd3cc313,0.080003,0.081532,320.0,135.0,188.0,1007.0,190.0,1018.0
Serial,CG,NoPrecond,5,1,0,uc2n367.localdomain,1,e95fb56b561b3aed0073a3d5431a3f9c,0.078016,0.078936,434.0,135.0,178.0,1030.0,137.0,794.0
Serial,CG,DIC,15,1,0,uc2n367.localdomain,1,b52c5c6c6b1e12a552a7e36a5190a4ef,0.099016,0.169247,592.0,135.0,2373.0,18271.0,4387.0,33742.0
Serial,BiCGStab,DIC,15,1,0,uc2n367.localdomain,1,aba6eb8faf51682e23465fba151f86a5,0.103635,0.17495,444.0,135.0,2381.0,17096.0,6189.0,45345.0
Serial,BiCGStab,NoPrecond,15,1,0,uc2n367.localdomain,1,c1185b5b709216c76ed375ebef2b7511,0.107944,0.211939,1393.0,135.0,2535.0,17300.0,13595.0,80099.0
Serial,CG,NoPrecond,15,1,0,uc2n367.localdomain,1,78c8d8f7684b5347c8599b66d8cc68fc,0.103885,0.183723,1876.0,135.0,2426.0,17271.0,7548.0,54761.0
Serial,CG,DIC,90,1,0,uc2n367.localdomain,1,08cd7e245cd3cbd4a05c804aaf153f41,13.778339,100.055255,4241.0,135.0,729195.0,6575018.0,8141230.0,76946537.0
Serial,BiCGStab,DIC,90,1,0,uc2n367.localdomain,1,3921f02496d83507f431a7d1e617477f,17.174951,137.006255,3031.0,135.0,753370.0,6389544.0,13501349.0,110078844.0
Serial,BiCGStab,NoPrecond,90,1,0,uc2n367.localdomain,1,6a928160a2d4bf6cbacc1ff78c9cdd81,32.618948,283.884113,10422.0,135.0,839112.0,6620380.0,27953225.0,237712692.0
Serial,CG,NoPrecond,90,1,0,uc2n367.localdomain,1,5dbb6da71f1fc12bac4c3c8465cd7c08,22.767621,160.058052,13368.0,135.0,764536.0,6454249.0,14808263.0,130972275.0
Serial,CG,DIC,75,1,0,uc2n367.localdomain,1,a9c480b0dfd1e8c67e18887670a97e6b,7.018059,50.229162,3278.0,135.0,562642.0,4540052.0,4469827.0,36183263.0
Serial,BiCGStab,DIC,75,1,0,uc2n367.localdomain,1,ff5432cfabfad318897e1267632f27bd,10.132842,72.67144,2387.0,135.0,569130.0,4360253.0,7123038.0,56749838.0
Serial,BiCGStab,NoPrecond,75,1,0,uc2n367.localdomain,1,db2627535ebdb90e7ecd5d6e6052fa0a,15.974519,128.734497,8064.0,135.0,559288.0,4119786.0,13011517.0,107234854.0
Serial,CG,NoPrecond,75,1,0,uc2n367.localdomain,1,41998c6ea3f35fdfb557540902e40cb5,10.79213,81.472057,10346.0,135.0,453552.0,4117734.0,7252823.0,64665820.0
Serial,CG,DIC,40,1,0,uc2n367.localdomain,1,a582d1b6c12f130fdce7a0fc8e5fc667,0.841156,4.124051,1738.0,135.0,66479.0,498184.0,271406.0,2458625.0
Serial,BiCGStab,DIC,40,1,0,uc2n367.localdomain,1,d228ac8033821c4d953bdb07ec217d7e,0.882946,4.336384,1117.0,135.0,61400.0,475783.0,417112.0,2933521.0
Serial,BiCGStab,NoPrecond,40,1,0,uc2n367.localdomain,1,88d666c7ff8839d647ccfacd390b21c6,1.433281,7.596954,3389.0,135.0,74830.0,534164.0,1010376.0,5807505.0
Serial,CG,NoPrecond,40,1,0,uc2n367.localdomain,1,69d9ea1dcb4454e768fdbae7d51928ee,0.961485,5.376362,5440.0,135.0,55195.0,459969.0,503345.0,3790462.0
