executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'top': ['top - 11:22:35 up 32 days, 18:04,  1 user,  load average: 0.51, 0.88, 0.89', 'Tasks: 944 total,   1 running, 943 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.3 us,  0.4 sy,  0.0 ni, 99.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515589.7 total, 411949.0 free,   5291.4 used,  98349.2 buff/cache', 'MiB Swap: 131072.0 total, 131072.0 free,      0.0 used. 506609.7 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   2236 root      20   0  772412 233652  81456 S  11.8   0.0 295:54.36 tuned', ' 266159 root      20   0  157900  59548  29404 S   5.9   0.0  33:16.77 gitlab-+', '1597308 greole    25   5   66236   5868   4220 R   5.9   0.0   0:00.02 top', '      1 root      20   0  242308  15556   9152 S   0.0   0.0   1:30.32 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:03.53 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 11:22:35 up 32 days, 18:04,  1 user,  load average: 0.51, 0.88, 0.89\n', 'libOGL.so': 'c392d20574c179d2c6e38ee737482d12  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
HIP,CG,NoPrecond,100,None,0,nla-gpu1.ianm.kit.edu,1,d36d3c8e4ad02d5e95a79b44d900f112,13.759903
HIP,BiCGStab,NoPrecond,100,None,0,nla-gpu1.ianm.kit.edu,1,9186bea3c667254e95f18b263d6e9c0d,13.078289
HIP,CG,NoPrecond,200,None,0,nla-gpu1.ianm.kit.edu,1,d43def090dc88a96d5c0340a27777964,79.905893
HIP,BiCGStab,NoPrecond,200,None,0,nla-gpu1.ianm.kit.edu,1,8f8203d6fd71403b71a885a892f81d58,98.590726
HIP,CG,NoPrecond,300,None,0,nla-gpu1.ianm.kit.edu,1,ffba01377a5934f586b1a9f5cd7159f2,297.919844
HIP,BiCGStab,NoPrecond,300,None,0,nla-gpu1.ianm.kit.edu,1,1867a3a192e47e960041cc4a4ab83adf,445.713177
HIP,CG,NoPrecond,400,None,0,nla-gpu1.ianm.kit.edu,1,65e561d7a2bbd4b71245e4bfd83b4883,837.692436
HIP,BiCGStab,NoPrecond,400,None,0,nla-gpu1.ianm.kit.edu,1,b5174fdeb9a9991c3c2ef75629d1aad3,1159.515555
HIP,CG,NoPrecond,500,None,0,nla-gpu1.ianm.kit.edu,1,71d3d0f20f191a374424666a5b20f817,1928.416499
