executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 22:14:46 up 25 days,  4:56,  5 users,  load average: 0.05, 0.33, 0.42', 'Tasks: 954 total,   1 running, 953 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.2 sy,  0.1 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 483333.8 total, 213017.3 free,   6018.2 used, 264298.2 buff/cache', 'MiB Swap: 131072.0 total, 131062.0 free,     10.0 used. 474359.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3212546 greole    25   5   66368   5672   4020 R   6.2   0.0   0:00.02 top', '      1 root      20   0  250148  14844   9004 S   0.0   0.0   0:16.95 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:01.54 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     10 root      20   0       0      0      0 S   0.0   0.0   0:10.86 ksoftir+', '     11 root      20   0       0      0      0 I   0.0   0.0   2:29.48 rcu_sch+'], 'uptime': ' 22:14:46 up 25 days,  4:56,  5 users,  load average: 0.05, 0.33, 0.42\n', 'libOGL.so': '4c5894c5434e873935e7d8b5f35929a2  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
MPI,CG,NoPrecond,100,None,32,nla-gpu2.ianm.kit.edu,32,1,cc6779dbfbb16c9373687b2ac2b4668a,3.420998
MPI,BiCGStab,NoPrecond,100,None,32,nla-gpu2.ianm.kit.edu,32,1,a14fbe1c1dbbf729a53ab2a1e7018c30,4.668881
MPI,CG,NoPrecond,200,None,32,nla-gpu2.ianm.kit.edu,32,1,b3ea17147da599b28a4390848322fb1a,80.682779
MPI,BiCGStab,NoPrecond,200,None,32,nla-gpu2.ianm.kit.edu,32,1,e63c816506d147d31537e96f3d49c612,169.985182
MPI,BiCGStab,NoPrecond,200,None,32,nla-gpu2.ianm.kit.edu,32,1,None,None
MPI,CG,NoPrecond,300,None,32,nla-gpu2.ianm.kit.edu,32,1,880a5c0221c09b5b60a10cd35d98f7b1,792.012161
MPI,BiCGStab,NoPrecond,300,None,32,nla-gpu2.ianm.kit.edu,32,1,ecdbbd244bad6605c441cafe50f26248,1182.153212
MPI,CG,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,32,1,edd27ec12cd20cf4ef4a1b41cdeb3798,3423.080132
MPI,BiCGStab,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,32,1,3087bfa146222c12143f9897ac192ba4,6076.087237
MPI,CG,NoPrecond,500,None,32,nla-gpu2.ianm.kit.edu,32,1,5962ab34f5a0a500e92e84ae0d4f6d35,5297.880265
