executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 04:36:49 up 10 days, 10:18,  3 users,  load average: 41.00, 39.93, 39.66', 'Tasks: 989 total,  40 running, 949 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.6 sy, 61.1 ni, 37.7 id,  0.0 wa,  0.6 hi,  0.1 si,  0.0 st', 'MiB Mem : 483333.8 total,  89923.4 free, 118947.0 used, 274463.3 buff/cache', 'MiB Swap: 131072.0 total, 131069.5 free,      2.5 used. 361445.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2045877 greole    25   5 5329788   2.4g 102048 R 129.4   0.5 241:38.59 icoFoam', '2045868 greole    25   5 5338116   2.4g 101700 R 123.5   0.5 239:54.14 icoFoam', '2045873 greole    25   5 5357492   2.4g 101712 R 123.5   0.5 241:55.50 icoFoam', '2045885 greole    25   5 5373484   2.4g 103228 R 123.5   0.5 242:17.55 icoFoam', '2045870 greole    25   5 5378676   2.4g 100424 R 117.6   0.5 238:52.92 icoFoam', '2045887 greole    25   5 5341660   2.4g 101288 R 117.6   0.5 239:10.55 icoFoam', '2045901 greole    25   5 5337216   2.4g 101848 R 117.6   0.5 239:02.31 icoFoam', '2094834 greole    25   5 6101500   3.1g 104128 R 117.6   0.7 116:46.64 icoFoam'], 'uptime': ' 04:36:49 up 10 days, 10:18,  3 users,  load average: 41.00, 39.93, 39.66\n', 'libOGL.so': '62cd37fd609311a8d6b1866c5fdda6a2  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
HIP,CG,NoPrecond,50,None,0,nla-gpu2.ianm.kit.edu,1,4543a06e5fc94de39548e7d311b6feb0,5.096343
HIP,BiCGStab,NoPrecond,50,None,0,nla-gpu2.ianm.kit.edu,1,3de25fda093f45ef5734c7e20c08d0fd,5.568839
HIP,CG,NoPrecond,100,None,0,nla-gpu2.ianm.kit.edu,1,b4abb0d74540db92c474e2c00d305394,32.093382
HIP,BiCGStab,NoPrecond,100,None,0,nla-gpu2.ianm.kit.edu,1,44dfb18a06be6480592188793ad4ec1b,29.148934
HIP,CG,NoPrecond,150,None,0,nla-gpu2.ianm.kit.edu,1,2495eb328a46e69d1c428b670fcea2ea,87.355408
HIP,BiCGStab,NoPrecond,150,None,0,nla-gpu2.ianm.kit.edu,1,754eb4465c5d596e2fcb597a9912787e,94.498927
HIP,CG,NoPrecond,200,None,0,nla-gpu2.ianm.kit.edu,1,03aadb4bff8a7f12e02c5e5c6b9723ac,211.787822
HIP,BiCGStab,NoPrecond,200,None,0,nla-gpu2.ianm.kit.edu,1,41bcca3a3fe582244eefd026ca5ced32,240.714362
HIP,CG,NoPrecond,250,None,0,nla-gpu2.ianm.kit.edu,1,63d574eb30bd5b936ea1322298bb9e3f,431.682728
HIP,BiCGStab,NoPrecond,250,None,0,nla-gpu2.ianm.kit.edu,1,0f0836808033f474c3901f522c16854d,448.094594
HIP,CG,NoPrecond,300,None,0,nla-gpu2.ianm.kit.edu,1,7e5022732443e572707ca0e4399dd0be,612.661416
HIP,BiCGStab,NoPrecond,300,None,0,nla-gpu2.ianm.kit.edu,1,6f7eb55cb2f68f32d41ab72e365e1694,922.007012
HIP,CG,NoPrecond,350,None,0,nla-gpu2.ianm.kit.edu,1,21620d8a937dbba55235b86c03f152b8,1126.538355
HIP,BiCGStab,NoPrecond,350,None,0,nla-gpu2.ianm.kit.edu,1,04d4e50a9375ab4527796893126c55cd,1396.290739
