executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 20:30:55 up 10 days,  2:12,  3 users,  load average: 0.13, 0.03, 0.08', 'Tasks: 948 total,   1 running, 947 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.2 sy,  0.1 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 483333.8 total, 235273.9 free,   4911.6 used, 243148.2 buff/cache', 'MiB Swap: 131072.0 total, 131069.8 free,      2.2 used. 475480.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1941452 greole    25   5   66236   5728   4080 R   6.2   0.0   0:00.02 top', '      1 root      20   0  250148  14844   9004 S   0.0   0.0   0:07.95 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:00.59 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     10 root      20   0       0      0      0 S   0.0   0.0   0:01.06 ksoftir+', '     11 root      20   0       0      0      0 I   0.0   0.0   1:00.19 rcu_sch+'], 'uptime': ' 20:30:55 up 10 days,  2:12,  3 users,  load average: 0.13, 0.03, 0.08\n', 'libOGL.so': 'beedc35b8950c8d2df67d2ac1aed0f6d  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
MPI,CG,NoPrecond,50,None,0,nla-gpu2.ianm.kit.edu,1,32,78f46df8a456340f8ad31276d3acd656,4.123439
MPI,CG,NoPrecond,50,None,0,nla-gpu2.ianm.kit.edu,1,32,9c3aae5a4987d4e18506e4e1492a8dc6,4.015133
MPI,BiCGStab,NoPrecond,50,None,32,nla-gpu2.ianm.kit.edu,1,32,4ec2bb7b506966ca40ed726b9bdf1d65,1.401332
MPI,CG,NoPrecond,100,None,32,nla-gpu2.ianm.kit.edu,1,32,7d865ae106f4ed9b96cb8b2aa7640272,3.572049
MPI,BiCGStab,NoPrecond,100,None,32,nla-gpu2.ianm.kit.edu,1,32,0be0d0e5206fec28dad18b0736705a61,4.625349
MPI,CG,NoPrecond,150,None,32,nla-gpu2.ianm.kit.edu,1,32,9ebef4ed40ed1e314c7887b2d83f5e98,15.249951
MPI,BiCGStab,NoPrecond,150,None,32,nla-gpu2.ianm.kit.edu,1,32,dc27994b8585852a0c18e00c5d16f5d0,42.659555
MPI,CG,NoPrecond,200,None,32,nla-gpu2.ianm.kit.edu,1,32,7a05e58b8c0ff80c055d235465912220,77.825668
MPI,BiCGStab,NoPrecond,200,None,32,nla-gpu2.ianm.kit.edu,1,32,6253f599374a1f8db005769fd5212f9f,165.137698
MPI,CG,NoPrecond,250,None,32,nla-gpu2.ianm.kit.edu,1,32,f6ff13615dce0f7c8ab4e400a5e74890,267.415577
MPI,BiCGStab,NoPrecond,250,None,32,nla-gpu2.ianm.kit.edu,1,32,1fa8809040dc8e9e2f8edfea20081795,384.142159
MPI,CG,NoPrecond,300,None,32,nla-gpu2.ianm.kit.edu,1,32,None,None
MPI,BiCGStab,NoPrecond,300,None,32,nla-gpu2.ianm.kit.edu,1,32,15d1dadac61a6b77fce5c44df4896680,1104.66584
MPI,CG,NoPrecond,350,None,32,nla-gpu2.ianm.kit.edu,1,32,3a0d9c2e35d3266651bbf17ea8c4d9d1,1262.811158
MPI,BiCGStab,NoPrecond,350,None,32,nla-gpu2.ianm.kit.edu,1,32,c8314bd280e2f63b0846eb214b5c8180,1857.184449
MPI,CG,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,1,32,11beb55a5994a4352fc70bee52f65452,2074.962998
MPI,BiCGStab,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,1,32,85008d7e3db2e89d4b66888a837c22b1,4321.065954
MPI,CG,NoPrecond,450,None,32,nla-gpu2.ianm.kit.edu,1,32,66038f324d907dac54181c8032d5d57c,3300.204456
