executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 00:05:47 up 24 days, 13:59,  3 users,  load average: 0.00, 0.00, 0.00', 'Tasks: 947 total,   1 running, 946 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.3 sy,  0.1 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515584.2 total, 355579.2 free,   3347.3 used, 156657.6 buff/cache', 'MiB Swap: 131072.0 total, 131065.8 free,      6.2 used. 509185.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3218084 greole    25   5   66248   5856   4192 R   5.9   0.0   0:00.03 top', '      1 root      20   0  242276  14692   8456 S   0.0   0.0   0:13.70 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:01.18 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:00.49 ksoftir+', '     12 root      20   0       0      0      0 I   0.0   0.0   1:54.63 rcu_sch+'], 'uptime': ' 00:05:47 up 24 days, 13:59,  3 users,  load average: 0.00, 0.00, 0.00\n', 'libOGL.so': '3e7f95e0b49b83aa06478d8a7f45222b  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
HIP,CG,NoPrecond,100,None,2,nla-gpu2.ianm.kit.edu,2,1,c7bb7e69115f36e6717fa3afcfc43e55,26.620322
HIP,CG,NoPrecond,100,None,4,nla-gpu2.ianm.kit.edu,4,1,eb551ae1b7a5eaf4dbf626ec7cde6f17,16.033699
HIP,CG,NoPrecond,100,None,4,nla-gpu2.ianm.kit.edu,4,1,44531f12d34818b9ee78bf861b0c08cf,16.089311
HIP,CG,NoPrecond,100,None,4,nla-gpu2.ianm.kit.edu,4,1,5e42f962f0a968fd7090bca7dd4f7083,15.764273
HIP,CG,NoPrecond,100,None,8,nla-gpu2.ianm.kit.edu,8,1,1948e4caeaa8aebfba32f630f982feec,9.991023
HIP,CG,NoPrecond,100,None,16,nla-gpu2.ianm.kit.edu,16,1,d25a1b30e28268bd3ff4d743f87c6753,14.626631
HIP,CG,NoPrecond,100,None,32,nla-gpu2.ianm.kit.edu,32,1,bba7a76e76bec0fecc4dd61d1d4f8ddb,26.046887
HIP,CG,NoPrecond,100,None,40,nla-gpu2.ianm.kit.edu,40,1,bb4689d835e88a35c376e4f3cf1df944,47.165073
HIP,BiCGStab,NoPrecond,100,None,2,nla-gpu2.ianm.kit.edu,2,1,d3d067c0fefe34e378e0f30d9f703e7f,29.028364
